RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
2318,20251105,F,60대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
11076,20251105,F,50대,광주광역시,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
14073,20251105,M,40대,경상북도,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
41927,20251105,F,30대,서울특별시,700만원 이상,스트레스 해소를 위해,남는 시간을 보내기 위해
118980,20251105,M,50대,강원도,무응답,자기만족-즐거움을 위해,건강 관리를 위해
152468,20251105,M,50대,강원도,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
172556,20251105,F,30대,대구광역시,300이상500만원 미만,남는 시간을 보내기 위해,마음의 안정-휴식을 위해
189360,20251105,M,50대,강원도,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
223737,20251105,M,30대,경상북도,무응답,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
227323,20251105,M,60대,경상북도,300이상500만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
237204,20251105,M,40대,경상북도,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
248240,20251105,M,20대,울산광역시,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
258537,20251105,M,40대,인천광역시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
274909,20251105,F,30대,부산광역시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
298610,20251105,M,50대,대전광역시,무응답,대인 관계-교제를 위해,남는 시간을 보내기 위해
324906,20251105,F,30대,경상북도,300이상500만원 미만,남는 시간을 보내기 위해,마음의 안정-휴식을 위해
333166,20251105,M,30대,경기도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
337087,20251105,F,60대,울산광역시,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
337148,20251105,F,30대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
346836,20251105,F,50대,경상북도,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
347629,20251105,M,30대,경상북도,500이상700만원 미만,남는 시간을 보내기 위해,없음
348253,20251105,F,40대,대구광역시,300이상500만원 미만,건강 관리를 위해,스트레스 해소를 위해
348941,20251105,M,20대,서울특별시,무응답,스트레스 해소를 위해,자기만족-즐거움을 위해
350087,20251105,M,20대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
351559,20251105,M,50대,강원도,무응답,자기만족-즐거움을 위해,건강 관리를 위해
359816,20251105,F,60대,광주광역시,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
368644,20251105,F,50대,경상북도,700만원 이상,자기 계발을 위해,건강 관리를 위해
368826,20251105,F,50대,충청북도,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
369543,20251105,M,20대,전라북도,무응답,남는 시간을 보내기 위해,자기만족-즐거움을 위해
370003,20251105,F,40대,대구광역시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
391206,20251105,M,30대,제주특별자치도,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
392703,20251105,M,50대,서울특별시,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
392883,20251105,F,30대,부산광역시,700만원 이상,마음의 안정-휴식을 위해,없음
394145,20251105,M,30대,서울특별시,무응답,건강 관리를 위해,대인 관계-교제를 위해
395147,20251105,F,40대,충청북도,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
402690,20251105,M,20대,경기도,무응답,대인 관계-교제를 위해,건강 관리를 위해
408109,20251105,M,50대,강원도,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
409638,20251105,F,30대,경상북도,500이상700만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
410389,20251105,F,50대,광주광역시,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
410949,20251105,M,20대,제주특별자치도,700만원 이상,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
411171,20251105,F,40대,경상북도,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
411274,20251105,F,60대,인천광역시,300이상500만원 미만,남는 시간을 보내기 위해,자기만족-즐거움을 위해
411849,20251105,M,20대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
413783,20251105,M,50대,강원도,500이상700만원 미만,건강 관리를 위해,자기 계발을 위해
415495,20251105,F,50대,충청남도,700만원 이상,건강 관리를 위해,대인 관계-교제를 위해
420823,20251105,F,30대,경기도,무응답,스트레스 해소를 위해,대인 관계-교제를 위해
420941,20251105,M,30대,충청북도,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
421398,20251105,F,30대,대구광역시,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
422878,20251105,F,20대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
424037,20251105,M,20대,부산광역시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,없음
425383,20251105,M,20대,경상북도,500이상700만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
425726,20251105,M,20대,경기도,무응답,스트레스 해소를 위해,남는 시간을 보내기 위해
426876,20251105,M,20대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
429773,20251105,M,20대,광주광역시,무응답,마음의 안정-휴식을 위해,없음
432229,20251105,M,20대,부산광역시,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해
435661,20251105,F,20대,경기도,무응답,자기 계발을 위해,자기만족-즐거움을 위해
436681,20251105,M,20대,대구광역시,무응답,스트레스 해소를 위해,자기 계발을 위해
446070,20251105,M,20대,서울특별시,무응답,자기 계발을 위해,자기만족-즐거움을 위해
446599,20251105,M,20대,대구광역시,무응답,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
447738,20251105,F,60대,충청남도,500이상700만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
449805,20251105,F,40대,대구광역시,500이상700만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
451829,20251105,M,20대,경기도,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
452029,20251105,M,30대,광주광역시,무응답,대인 관계-교제를 위해,자기만족-즐거움을 위해
452292,20251105,M,50대,강원도,700만원 이상,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
453959,20251105,M,30대,강원도,700만원 이상,남는 시간을 보내기 위해,가족-지인 등과 시간을 보내기 위해
456854,20251105,M,50대,강원도,700만원 이상,대인 관계-교제를 위해,스트레스 해소를 위해
